"setor_cnae_classificacao_bndes";"subsetor_cnae_agrupado_classificacao_bndes";"subsetor_bndes";"setor_bndes";"codigo_cnae_ibge";"produto_bndes"
"Agropecuária e pesca";"Agropecuária";"Agropecuária";"Agropecuária";"A01 a A03";"Todos"
"Indústria extrativa";"Indústria Extrativa";"Extrativa";"Indústria";"B05 a B09";"Todos"
"Indústria de transformação";"Produtos Alimentícios";"Alimento e bebida";"Indústria";"C10";"Todos"
"Indústria de transformação";"Bebidas";"Alimento e bebida";"Indústria";"C11";"Todos"
"Indústria de transformação";"Fumo";"Outras";"Indústria";"C12";"Todos"
"Indústria de transformação";"Têxtil";"Têxtil e vestuário";"Indústria";"C13";"Todos"
"Indústria de transformação";"Confec, vestuário e acessórios";"Têxtil e vestuário";"Indústria";"C14";"Todos"
"Indústria de transformação";"Couro, artefato e calçado";"Outras";"Indústria";"C15";"Todos"
"Indústria de transformação";"Madeira";"Outras";"Indústria";"C16";"Todos"
"Indústria de transformação";"Celulose e papel";"Celulose e papel";"Indústria";"C17";"Todos"
"Indústria de transformação";"Gráfica";"Outras";"Indústria";"C18";"Todos"
"Indústria de transformação";"Coque, petróleo e combustível";"Química e petroquímica";"Indústria";"C19";"Todos"
"Indústria de transformação";"Química";"Química e petroquímica";"Indústria";"C20";"Todos"
"Indústria de transformação";"Farmoquímico, farmacêutico";"Química e petroquímica";"Indústria";"C21";"Todos"
"Indústria de transformação";"Borracha e plástico";"Outras";"Indústria";"C22";"Todos"
"Indústria de transformação";"Mineral não metálico";"Outras";"Indústria";"C23";"Todos"
"Indústria de transformação";"Metalurgia";"Metalurgia e produtos";"Indústria";"C24";"Todos"
"Indústria de transformação";"Produto de metal";"Metalurgia e produtos";"Indústria";"C25";"Todos"
"Indústria de transformação";"Equip info, eletronico, ótico";"Mecânica";"Indústria";"C26";"Todos"
"Indústria de transformação";"Máq, aparelho eletrico";"Mecânica";"Indústria";"C27";"Todos"
"Indústria de transformação";"Máquinas e equipamentos";"Mecânica";"Indústria";"C28";"Todos"
"Indústria de transformação";"Veículo, reboque e carroceria";"Material de transporte";"Indústria";"C29";"Todos"
"Indústria de transformação";"Outros equip transporte";"Material de transporte";"Indústria";"C30";"Todos"
"Indústria de transformação";"Móveis";"Outras";"Indústria";"C31";"Todos"
"Indústria de transformação";"Produtos diversos";"Outras";"Indústria";"C32";"Todos"
"Indústria de transformação";"Manutenção, reparação, instal.";"Outras";"Indústria";"C33";"Todos"
"Comércio e serviços";"Eletricidade e Gás";"Energia elétrica";"Infraestrutura";"D351";"Exceto BNDES Exim"
"Comércio e serviços";"Construção";"Construção";"Infraestrutura";"F42";"Exceto BNDES Finame,  Cartão BNDES e BNDES Exim"
"Comércio e serviços";"Construção";"Construção";"Infraestrutura";"F41 e F43";"Exceto BNDES Finame, Cartão BNDES, BNDES Automático e BNDES Exim"
"Comércio e Serviços";"Transporte terrestre";"Transporte rodoviário";"Infraestrutura";"H492 e H493";"Exceto BNDES Exim"
"Comércio e Serviços";"Transporte terrestre";"Transporte ferroviário";"Infraestrutura";"H4911,
H4912401 e
H4912402";"Exceto BNDES Exim"
"Comércio e Serviços";"Transporte terrestre";"Outros Transportes";"Infraestrutura";"H49 (restante)";"Exceto BNDES Exim"
"Comércio e Serviços";"Transporte aquaviário";"Outros Transportes";"Infraestrutura";"H50";"Exceto BNDES Exim"
